	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75
c1	0	0	0	0	0	0	0	0	0	0,4	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,6	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c2	-0,6	0	0	0	0	0	0	0	0	-0,6	-0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,2	0	0	0	0	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c3	0	0	0	0	0	0	0	0	0	0,8	0	0	0	0	0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,4	0	0	0	0,8	-0,5	-0,2	0	0	0	0	0	0	0	0	0	0	0	0	0
c4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,8
c5	0	0	0	0,6	0	0,9	0	0	0	0	0,4	0	0	0,8	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c6	0	0	0,3	0,8	0	0	0,3	0	0	0,3	0	0	0	0	0,9	0	0,7	0	0	0,7	0,8	0	0	0	0,8	0,5	0,6	0	0	0	0,3	0	0	0	0	0,6	0,7	0	0,3	0,4	0,6	0	0,6	0	0,7	0	0	0	0	0	0	0,5	0	0	0,5	0	0	-0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c7	0	0	0,4	0	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c9	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c10	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,3	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0,4	0	0	0	0	0	-0,5	0	0	0,3	0	0	0	0	0	0	0	0	0	0	0
